answer,intent,answer_index,intent_index,first,label_index
http://www.iqtree.org/doc/Command-Reference#rate-heterogeneity,Rate heterogeneity,30.0,30.0,The following RateTypes are supported:,4.0
http://www.iqtree.org/doc/Command-Reference#partition-model-options,Partition model options,31.0,31.0,Partition models are used for phylogenomic data with multiple genes. You first have to prepare a partition file in NEXUS or RAxML-style format. Then use the following options to input the partition file:,4.0
http://www.iqtree.org/doc/Command-Reference#site-specific-frequency-model-options,Site-specific frequency model options,32.0,32.0,The site-specific frequency model is used to substantially reduce the time and memory requirement compared with full profile mixture models C10 to C60. For full details see site-specific frequency model. To use this model you have to specify a profile mixture model with e.g. -m LG+C20+F+G together with a guide tree or a site frequency file:,4.0
http://www.iqtree.org/doc/Command-Reference#tree-search-parameters,Tree search parameters,33.0,33.0,"The new IQ-TREE search algorithm (Nguyen et al., 2015) has several parameters that can be changed with:",4.0
http://www.iqtree.org/doc/Command-Reference#ultrafast-bootstrap-parameters,Ultrafast bootstrap parameters,34.0,34.0,"The ultrafast bootstrap (UFBoot) approximation (Minh et al., 2013; Hoang et al., in press) has several parameters that can be changed with:",4.0
http://www.iqtree.org/doc/Command-Reference#nonparametric-bootstrap,Nonparametric bootstrap,35.0,35.0,"The slow standard nonparametric bootstrap (Felsenstein, 1985) can be run with:",4.0
http://www.iqtree.org/doc/Command-Reference#single-branch-tests,Single branch tests,36.0,36.0,"The following single branch tests are faster than all bootstrap analysis and recommended for extremely large data sets (e.g., >10,000 taxa):",4.0
http://www.iqtree.org/doc/Command-Reference#ancestral-sequence-reconstruction,Ancestral sequence reconstruction,37.0,37.0,"This feature is newly introduced in version 1.6. You can combine this feature with -te option to determine ancestral sequences along a user-defined tree (Otherwise, IQ-TREE computes ancestral sequences of the ML tree).",4.0
http://www.iqtree.org/doc/Command-Reference#tree-topology-tests,Tree topology tests,38.0,38.0,"IQ-TREE provides a number of tests for significant topological differences between trees. The AU test implementation in IQ-TREE is much more efficient than the original CONSEL by supporting SSE, AVX and multicore parallelization. Moreover, it is more appropriate than CONSEL for partition analysis by bootstrap resampling sites within partitions, whereas CONSEL is not partition-aware.",4.0
http://www.iqtree.org/doc/Command-Reference#constructing-consensus-tree,Constructing consensus tree,39.0,39.0,IQ-TREE provides a fast implementation of consensus tree construction for post analysis:,4.0
http://www.iqtree.org/doc/Command-Reference#computing-robinson-foulds-distance,Computing Robinson-Foulds distance,40.0,40.0,IQ-TREE provides a fast implementation of Robinson-Foulds (RF) distance computation between trees:,4.0
http://www.iqtree.org/doc/Command-Reference#generating-random-trees,Generating random trees,41.0,41.0,IQ-TREE provides several random tree generation models:,4.0
http://www.iqtree.org/doc/Command-Reference#miscellaneous-options,Miscellaneous options,42.0,42.0,"OptionUsage and meaning-alninfoPrint alignment site statistics to .alninfo file.-blfixFix branch lengths of tree passed via -t or -te. This is useful to evaluate the log-likelihood of an input tree with fixed tolopogy and branch lengths. DEFAULT: OFF-blminSpecify minimum branch length. Default: the smaller of 0.000001 and 0.1/alignment_length.-blmaxSpecify the maximum branch length. Default: 10-czbCollapse near zero branches, so that the final tree may be multifurcating. This is useful for bootstrapping in the presence of polytomy to reduce bootstrap supports of short branches.-meSpecify the log-likelihood epsilon for final model parameter estimation (Default: 0.01). With -fast option, the epsilon is raised to 0.05.-wplWrite partition log-likelihoods to .partlh file. Only effective with partition model.-wsprWrite site posterior probabilities per rate category to .siteprob file.-wspmWrite site posterior probabilities per mixture class to .siteprob file.-wspmrWrite site posterior probabilities per mixture class and rate category to .siteprob file.-wslWrite site log-likelihoods to .sitelh file in TREE-PUZZLE format. Such file can then be passed on to CONSEL for further tree tests.-wslrWrite site log-likelihoods per rate category to .sitelh file.-wslmWrite site log-likelihoods per mixture class to .sitelh file.-wslmrWrite site log-likelihoods per mixture class and rate category to .sitelh file.-wtTurn on writing all locally optimal trees into .treels file.-fconstSpecify a list of comma-separated integer numbers. The number of entries should be equal to the number of states in the model (e.g. 4 for DNA and 20 for protein). IQ-TREE will then add a number of constant sites accordingly. For example, -fconst 10,20,15,40 will add 10 constant sites of all A, 20 constant sites of all C, 15 constant sites of all G and 40 constant sites of all T into the alignment.",4.0
